RouteName,RouteNumber,Ecoregion_L1Code,Ecoregion_L1Name
04-063 CARDINAL LK,4063,5,NORTHERN FORESTS
04-077 FORT SMITH,4077,3,TAIGA
04-078 PEACE POINT,4078,3,TAIGA
04-079 HAY CAMP,4079,3,TAIGA
04-081 RED ROCK COULEE,4081,9,GREAT PLAINS
04-096 KANANASKIS,4096,6,NORTHWESTERN FORESTED MOUNTAINS
04-101 MANYBERRIES,4101,9,GREAT PLAINS
04-102 SHERBOURNE L,4102,9,GREAT PLAINS
04-103 HORSEFLY LK.,4103,9,GREAT PLAINS
04-104 GRANUM,4104,9,GREAT PLAINS
04-105 WATERTON PRK,4105,6,NORTHWESTERN FORESTED MOUNTAINS
04-106 SCHULER,4106,9,GREAT PLAINS
04-107 WARDLOW,4107,9,GREAT PLAINS
04-109 MAZEPPA,4109,9,GREAT PLAINS
04-111 ESTHER,4111,9,GREAT PLAINS
04-112 HEMARUKA,4112,9,GREAT PLAINS
04-114 SHEEP COULEE,4114,9,GREAT PLAINS
04-115 DIDSBURY,4115,9,GREAT PLAINS
04-116 WIGWAM CREEK,4116,5,NORTHERN FORESTS
04-119 KILLAM,4119,9,GREAT PLAINS
04-120 HEISLER,4120,9,GREAT PLAINS
04-122 BENALTO,4122,5,NORTHERN FORESTS
04-123 CRIPPLE CRK,4123,5,NORTHERN FORESTS
04-125 SUNWAPTA FLS,4125,6,NORTHWESTERN FORESTED MOUNTAINS
04-127 VIKING,4127,9,GREAT PLAINS
04-128 BRUCE,4128,9,GREAT PLAINS
04-131 MACKAY,4131,5,NORTHERN FORESTS
04-136 BEAVERDAM,4136,5,NORTHERN FORESTS
04-137 LAC LA BICHE,4137,5,NORTHERN FORESTS
04-138 LONG LAKE,4138,5,NORTHERN FORESTS
04-139 PICKARDVILLE,4139,9,GREAT PLAINS
04-141 FREEMAN LAKE,4141,5,NORTHERN FORESTS
04-143 FOX CREEK,4143,5,NORTHERN FORESTS
04-147 CONKLIN,4147,5,NORTHERN FORESTS
04-149 SANDY LAKE,4149,5,NORTHERN FORESTS
04-152 WINAGAMI LK,4152,5,NORTHERN FORESTS
04-153 VALLEYVIEW,4153,5,NORTHERN FORESTS
04-155 HYTHE,4155,5,NORTHERN FORESTS
04-157 WILLOW LAKE,4157,5,NORTHERN FORESTS
04-196 SMITH DORRIEN,4196,6,NORTHWESTERN FORESTED MOUNTAINS
04-201 THELMA,4201,6,NORTHWESTERN FORESTED MOUNTAINS
04-202 ETZIKOM COUL,4202,9,GREAT PLAINS
04-203 KIPP COULEE,4203,9,GREAT PLAINS
04-204 TWIN BUTTE,4204,9,GREAT PLAINS
04-205 COLEMAN,4205,6,NORTHWESTERN FORESTED MOUNTAINS
04-206 BOWELL,4206,9,GREAT PLAINS
04-207 HAYS,4207,9,GREAT PLAINS
04-208 ENCHANT,4208,9,GREAT PLAINS
04-209 ENSIGN,4209,9,GREAT PLAINS
04-210 LONGVIEW,4210,9,GREAT PLAINS
04-211 ACADIA VALLY,4211,9,GREAT PLAINS
04-212 SPONDIN,4212,9,GREAT PLAINS
04-213 CRAWLING VAL,4213,9,GREAT PLAINS
04-214 KATHYRN,4214,9,GREAT PLAINS
